agency,description,name,price
"Real Broker Az, Llc","{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,373'}",23702 S Desert Sands Dr Sun Lakes Unit Thirty-Four,"$895,000"
"Cactus Mountain Properties, Llc","{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,456'}",23601 S Desert Dance Ct Sun Lakes Unit Thirty-Four,"$789,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '3,166'}",23626 S Rosecrest Dr Sun Lakes Unit Thirty-Four,"$775,000"
"Cactus Mountain Properties, Llc","{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '2,534'}",26218 S Cloverland Dr Sun Lakes 21,"$760,000"
Realty One Group,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,517'}",24020 S Lakeway Circle NW Sun Lakes Unit 38,"$749,000"
RE/MAX Vision Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '3,004'}",8826 E Copper Dr Sun Lakes Unit 36C Mcr 586-45,"$730,000"
"Real Broker Az, Llc","{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,570'}",9739 E Sunburst Ct Sun Lakes Unit 44,"$719,999"
Russ Lyon Sotheby's International Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,732'}",297 N Loy Ln Sedona Ranch,"$4,100,000"
"Galloway Realty, L.L.C.","{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '2,995'}",1 Sky Ridge Ct Sky Ridge Estates,"$3,594,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '3,828'}",487 Loy Ln Sedona Ranch On Oak Creek,"$3,500,000"
Realty One Group Mountain Desert,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '3,516'}",57 Peak Point Ct Mystic Heights,"$2,697,000"
Flat List Re,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '2,682'}",10433 E Lambert Dr Sun Lakes 27 Lot 1-265 Tr A-H & Private Street,"$689,900"
Realty One Group,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '2,631'}",25037 S Ribbonwood Dr Sun Lakes 27B,"$675,000"
